Goal,SeriesCode,GeoAreaCode,Units,TimePeriod,Value
9,EN_ATM_CO2GDP,348,KG_PER_CON_USD,2000,0.269
9,EN_ATM_CO2GDP,352,KG_PER_CON_USD,2000,0.185
9,EN_ATM_CO2GDP,356,KG_PER_CON_USD,2000,0.327
9,EN_ATM_CO2GDP,360,KG_PER_CON_USD,2000,0.212
9,EN_ATM_CO2GDP,364,KG_PER_CON_USD,2000,0.473
9,EN_ATM_CO2GDP,368,KG_PER_CON_USD,2000,0.329
9,EN_ATM_CO2GDP,372,KG_PER_CON_USD,2000,0.221
9,EN_ATM_CO2GDP,376,KG_PER_CON_USD,2000,0.278
9,EN_ATM_CO2GDP,380,KG_PER_CON_USD,2000,0.172
9,EN_ATM_CO2GDP,388,KG_PER_CON_USD,2000,0.395
9,EN_ATM_CO2GDP,392,KG_PER_CON_USD,2000,0.254
9,EN_ATM_CO2GDP,400,KG_PER_CON_USD,2000,0.34
9,EN_ATM_CO2GDP,398,KG_PER_CON_USD,2000,0.732
9,EN_ATM_CO2GDP,404,KG_PER_CON_USD,2000,0.085
9,EN_ATM_CO2GDP,412,KG_PER_CON_USD,2000,0.637
9,EN_ATM_CO2GDP,414,KG_PER_CON_USD,2000,0.407
9,EN_ATM_CO2GDP,417,KG_PER_CON_USD,2000,0.295
9,EN_ATM_CO2GDP,432,KG_PER_CON_USD,2000,0.564
9,EN_ATM_CO2GDP,418,KG_PER_CON_USD,2000,0.057
9,EN_ATM_CO2GDP,419,KG_PER_CON_USD,2000,0.191
9,EN_ATM_CO2GDP,428,KG_PER_CON_USD,2000,0.225
9,EN_ATM_CO2GDP,199,KG_PER_CON_USD,2000,0.115
9,EN_ATM_CO2GDP,422,KG_PER_CON_USD,2000,0.254
9,EN_ATM_CO2GDP,434,KG_PER_CON_USD,2000,0.402
9,EN_ATM_CO2GDP,440,KG_PER_CON_USD,2000,0.211
9,EN_ATM_CO2GDP,442,KG_PER_CON_USD,2000,0.193
9,EN_ATM_CO2GDP,458,KG_PER_CON_USD,2000,0.312
9,EN_ATM_CO2GDP,470,KG_PER_CON_USD,2000,0.199
9,EN_ATM_CO2GDP,480,KG_PER_CON_USD,2000,0.172
9,EN_ATM_CO2GDP,54,KG_PER_CON_USD,2000,
9,EN_ATM_CO2GDP,484,KG_PER_CON_USD,2000,0.205
9,EN_ATM_CO2GDP,57,KG_PER_CON_USD,2000,
9,EN_ATM_CO2GDP,17,KG_PER_CON_USD,2000,0.055
9,EN_ATM_CO2GDP,496,KG_PER_CON_USD,2000,0.825
9,EN_ATM_CO2GDP,499,KG_PER_CON_USD,2000,
9,EN_ATM_CO2GDP,504,KG_PER_CON_USD,2000,0.232
9,EN_ATM_CO2GDP,508,KG_PER_CON_USD,2000,0.118
9,EN_ATM_CO2GDP,104,KG_PER_CON_USD,2000,0.182
9,EN_ATM_CO2GDP,516,KG_PER_CON_USD,2000,0.159
9,EN_ATM_CO2GDP,524,KG_PER_CON_USD,2000,0.062
9,EN_ATM_CO2GDP,528,KG_PER_CON_USD,2000,0.214
9,EN_ATM_CO2GDP,554,KG_PER_CON_USD,2000,0.228
9,EN_ATM_CO2GDP,558,KG_PER_CON_USD,2000,0.176
9,EN_ATM_CO2GDP,562,KG_PER_CON_USD,2000,0.062
9,EN_ATM_CO2GDP,566,KG_PER_CON_USD,2000,0.12
9,EN_ATM_CO2GDP,807,KG_PER_CON_USD,2000,0.411
9,EN_ATM_CO2GDP,15,KG_PER_CON_USD,2000,0.215
9,EN_ATM_CO2GDP,746,KG_PER_CON_USD,2000,0.224
9,EN_ATM_CO2GDP,747,KG_PER_CON_USD,2000,0.263
9,EN_ATM_CO2GDP,21,KG_PER_CON_USD,2000,0.408
9,EN_ATM_CO2GDP,154,KG_PER_CON_USD,2000,0.216
9,EN_ATM_CO2GDP,578,KG_PER_CON_USD,2000,0.124
9,EN_ATM_CO2GDP,9,KG_PER_CON_USD,2000,0.432
9,EN_ATM_CO2GDP,543,KG_PER_CON_USD,2000,0.0
9,EN_ATM_CO2GDP,512,KG_PER_CON_USD,2000,0.266
9,EN_ATM_CO2GDP,586,KG_PER_CON_USD,2000,0.204
9,EN_ATM_CO2GDP,591,KG_PER_CON_USD,2000,0.111
9,EN_ATM_CO2GDP,600,KG_PER_CON_USD,2000,0.072
9,EN_ATM_CO2GDP,604,KG_PER_CON_USD,2000,0.155
9,EN_ATM_CO2GDP,608,KG_PER_CON_USD,2000,0.193
9,EN_ATM_CO2GDP,616,KG_PER_CON_USD,2000,0.466
9,EN_ATM_CO2GDP,61,KG_PER_CON_USD,2000,
9,EN_ATM_CO2GDP,620,KG_PER_CON_USD,2000,0.185
9,EN_ATM_CO2GDP,634,KG_PER_CON_USD,2000,0.414
9,EN_ATM_CO2GDP,410,KG_PER_CON_USD,2000,0.4
9,EN_ATM_CO2GDP,498,KG_PER_CON_USD,2000,0.441
9,EN_ATM_CO2GDP,642,KG_PER_CON_USD,2000,0.317
9,EN_ATM_CO2GDP,643,KG_PER_CON_USD,2000,0.69
9,EN_ATM_CO2GDP,682,KG_PER_CON_USD,2000,0.271
9,EN_ATM_CO2GDP,686,KG_PER_CON_USD,2000,0.139
9,EN_ATM_CO2GDP,688,KG_PER_CON_USD,2000,0.642
9,EN_ATM_CO2GDP,702,KG_PER_CON_USD,2000,0.186
9,EN_ATM_CO2GDP,703,KG_PER_CON_USD,2000,0.437
9,EN_ATM_CO2GDP,705,KG_PER_CON_USD,2000,0.269
9,EN_ATM_CO2GDP,722,KG_PER_CON_USD,2000,0.228
9,EN_ATM_CO2GDP,710,KG_PER_CON_USD,2000,0.618
9,EN_ATM_CO2GDP,5,KG_PER_CON_USD,2000,0.19
9,EN_ATM_CO2GDP,728,KG_PER_CON_USD,2000,
9,EN_ATM_CO2GDP,35,KG_PER_CON_USD,2000,0.224
9,EN_ATM_CO2GDP,18,KG_PER_CON_USD,2000,0.591
9,EN_ATM_CO2GDP,34,KG_PER_CON_USD,2000,0.313
9,EN_ATM_CO2GDP,39,KG_PER_CON_USD,2000,0.197
9,EN_ATM_CO2GDP,724,KG_PER_CON_USD,2000,0.198
9,EN_ATM_CO2GDP,144,KG_PER_CON_USD,2000,0.094
9,EN_ATM_CO2GDP,202,KG_PER_CON_USD,2000,0.243
9,EN_ATM_CO2GDP,738,KG_PER_CON_USD,2000,0.236
9,EN_ATM_CO2GDP,729,KG_PER_CON_USD,2000,0.078
9,EN_ATM_CO2GDP,740,KG_PER_CON_USD,2000,0.236
9,EN_ATM_CO2GDP,752,KG_PER_CON_USD,2000,0.144
9,EN_ATM_CO2GDP,756,KG_PER_CON_USD,2000,0.098
9,EN_ATM_CO2GDP,760,KG_PER_CON_USD,2000,0.885
9,EN_ATM_CO2GDP,762,KG_PER_CON_USD,2000,0.264
9,EN_ATM_CO2GDP,764,KG_PER_CON_USD,2000,0.248
9,EN_ATM_CO2GDP,768,KG_PER_CON_USD,2000,0.113
9,EN_ATM_CO2GDP,780,KG_PER_CON_USD,2000,0.453
9,EN_ATM_CO2GDP,788,KG_PER_CON_USD,2000,0.248
9,EN_ATM_CO2GDP,792,KG_PER_CON_USD,2000,0.206
9,EN_ATM_CO2GDP,795,KG_PER_CON_USD,2000,1.757
9,EN_ATM_CO2GDP,804,KG_PER_CON_USD,2000,0.831
9,EN_ATM_CO2GDP,784,KG_PER_CON_USD,2000,0.249
9,EN_ATM_CO2GDP,826,KG_PER_CON_USD,2000,0.231
9,EN_ATM_CO2GDP,834,KG_PER_CON_USD,2000,0.057
9,EN_ATM_CO2GDP,840,KG_PER_CON_USD,2000,0.405
9,EN_ATM_CO2GDP,858,KG_PER_CON_USD,2000,0.107
9,EN_ATM_CO2GDP,860,KG_PER_CON_USD,2000,1.747
9,EN_ATM_CO2GDP,862,KG_PER_CON_USD,2000,
9,EN_ATM_CO2GDP,704,KG_PER_CON_USD,2000,0.187
9,EN_ATM_CO2GDP,11,KG_PER_CON_USD,2000,0.113
9,EN_ATM_CO2GDP,145,KG_PER_CON_USD,2000,0.281
9,EN_ATM_CO2GDP,485,KG_PER_CON_USD,2000,0.275
9,EN_ATM_CO2GDP,155,KG_PER_CON_USD,2000,0.196
9,EN_ATM_CO2GDP,1,KG_PER_CON_USD,2000,0.349
9,EN_ATM_CO2GDP,887,KG_PER_CON_USD,2000,
9,EN_ATM_CO2GDP,894,KG_PER_CON_USD,2000,0.08
9,EN_ATM_CO2GDP,716,KG_PER_CON_USD,2000,0.298
9,EN_ATM_CO2GDP,2,KG_PER_CON_USD,2001,0.243
9,EN_ATM_CO2GDP,8,KG_PER_CON_USD,2001,0.164
9,EN_ATM_CO2GDP,12,KG_PER_CON_USD,2001,0.226
9,EN_ATM_CO2GDP,19,KG_PER_CON_USD,2001,0.341
9,EN_ATM_CO2GDP,24,KG_PER_CON_USD,2001,0.062
9,EN_ATM_CO2GDP,32,KG_PER_CON_USD,2001,0.185
9,EN_ATM_CO2GDP,51,KG_PER_CON_USD,2001,0.254
9,EN_ATM_CO2GDP,142,KG_PER_CON_USD,2001,0.38
9,EN_ATM_CO2GDP,36,KG_PER_CON_USD,2001,0.456
9,EN_ATM_CO2GDP,53,KG_PER_CON_USD,2001,0.423
9,EN_ATM_CO2GDP,40,KG_PER_CON_USD,2001,0.176
9,EN_ATM_CO2GDP,31,KG_PER_CON_USD,2001,0.719
9,EN_ATM_CO2GDP,48,KG_PER_CON_USD,2001,0.486
9,EN_ATM_CO2GDP,50,KG_PER_CON_USD,2001,0.096
9,EN_ATM_CO2GDP,112,KG_PER_CON_USD,2001,0.605
9,EN_ATM_CO2GDP,56,KG_PER_CON_USD,2001,0.259
9,EN_ATM_CO2GDP,204,KG_PER_CON_USD,2001,0.097
9,EN_ATM_CO2GDP,68,KG_PER_CON_USD,2001,0.154
9,EN_ATM_CO2GDP,70,KG_PER_CON_USD,2001,0.485
9,EN_ATM_CO2GDP,72,KG_PER_CON_USD,2001,0.205
9,EN_ATM_CO2GDP,76,KG_PER_CON_USD,2001,0.147
9,EN_ATM_CO2GDP,96,KG_PER_CON_USD,2001,0.182
9,EN_ATM_CO2GDP,100,KG_PER_CON_USD,2001,0.52
9,EN_ATM_CO2GDP,116,KG_PER_CON_USD,2001,0.111
